Documents,Governing Documents,"SVT5123C00 -  Water Heater Leak / Mold Regarding water leak & black mold, please send a copy of the following documents to all parties copied in this email.
1.    CCR - regulations
2.    Insurance Certificate of Coverage 
Extent of damage is from water heater closet interior floor & wall to kitchen floor directly adjacent to the heater closet. ",Category,Subcategory,Text
Payment,Question,WDS5002901 - Payment option I want to inform you that i have changed my Mailing address. ,,,
Payment,Delinquency Letter,WDS5005200 - Delinquency letter He received the Letter which stated that he is delinquent for his HOA Dues. while he as made the payment for the whole year.   ,,,
Payment,Coupon Book,WDS3010500 - Coupon books I received the coupon booklet and i will be making the payment in one go so will i get a discount. ,,,
Payment,Question,WDS1008400- Payment Questions Edward wanted to know why the monthly dues were increased. ,,,
Documents,Financials,DMC: Service Request for Financials test ,,,
Payment,Question,KLW0001300 -  Payment processed in the Month of December Wanted to know the reason to process $194.77 in the month of Dec while his account was already in prepaid ,,,
Payment,Make Payment,PSD0102100 - Make a payment. She wanted to make the payment on credit card for this year as well as next complete year towards her HOA dues. ,,,
Payment,Ledger/Statement,CPC0001800 - HOA statement She said she was sick and was not able to make the payments. She said she cant make the account current by December 10th but can make a part payment and can make the account current by the end of this month. ,,,
Maintenance,General Repairs,"Water dripping from roof top,  in front of the building Water is dripping in front of the building (from the roof top edge) ",,,
Maintenance,Other,PMN000J100 - Treadmill Repair. Sanjay called in and said that the treadmill in cabana needs service as it's making some kind of noise. ,,,
Payment,Question,PSD0206200 - Payment questions. She called in regarding the violation letters she received. ,,,
Payment,Question,PMN000H300 - Payment inquiry She wanted to know that have we received the checks which she sent for her HOA dues. ,,,
Payment,Ledger/Statement,WDS6008100 - Ledger and ACH Form she wanted Statement of her HOA Dues. ,,,
Payment,Make Payment,WDS6008900 - Make Payment Wanted to make a payment. ,,,
Meeting,Special Meeting,"WDS1002400- Query regarding proxy. Minh called and wanted to confirm whether, she was still eligible to send her tenant as the proxy to the Special Meeting to be held on 02-27-2019. ",,,
Payment,Coupon Book,"SST0000101 - Next Dues and Coupon Books Beau  gave a call inquiring about the reason for being sent a coupon book, also, he wanted to know when his next dues be payable. ",,,
Payment,Delinquency Letter,WDS5002000 - Delinquency Letter Jodi called us for her concern regarding the Delinquency Letter she received. She also informed us that she had been enrolled on ACH and should not have any outstanding balance. ,,,
Payment,Make Payment,WDS1007500 - Make Payment Dylan called on behalf of his mother Calleen and wanted to make the payment for the HOA dues for complete year 2019. ,,,
Maintenance,Roof Maintenance,PMN000C300 - Gutter repair The gutters outside out front door are clogged.  They overflow and splash water all over the place - it makes it so that we cannot set anything outside our door when it rains because it will get soaked by the splashing water.  I'm also afraid it is going to pull the gutters down. ,,,
Maintenance,Other,WDS5001900 - Snow removal Ha called and wanted to know if the HOA removes snow from the streets. He complained about the excessive snow on the streets and wanted to know if the HOA could do something about it.   ,,,
Payment,Coupon Book,DMC Service Request Done ,,,
Payment,Make Payment,Make a Payment Jay called in to make his HOA payment. ,,,
Payment,ACH Setup,ACH Setup Lisa called in and wanted to setup automatic payment with us. ,,,
Payment,ACH Setup,ACH Setup Bill called in and wanted to setup his HOA on Automatic payment. ,,,
Payment,Payment,"6 months HOA Dues Payment Sabrina informed us that she has received the coupons for the year 2019 on December 31st, 2018 and is sending us a check for 6 months HOA dues today. She wanted to make sure that no late fee imposed on her account. ",,,
Website Access,Registration / Access Code,"Woodside Homeowners Association 16532 164th Pl SE Renton WA 98058 - Registered Incorrect Information Name should be ""Imelda Ngonevolalath"" ",,,
Information,Other,PMN000F300 - Check for cabana He wanted to know the address where he can send us the check for cabana reservation. ,,,
Payment,Question,"PMN000F400 - Payment Questions He stated that he had already sent us the ACH form and the voided check, then why the payment is not being process for his HOA dues. ",,,
Payment,Question,WDS1008200 - Payment questions. He wanted tho confirm the address where he sent us checks for his HOA dues. ,,,
Payment,Question,PMN000H300 - Payment Questions She wanted to know that have we received the check which she sent for her HOA dues. ,,,
Payment,ACH Setup,KLW0001800 - ACH setup. She wanted to check if we received her ACH form on email. ,,,
Payment,Question,"FLB0002800 - Payment Whether we have received her payment or no, as the check got cleared the bank on 18/01. ",,,
Information,Other,PSD0203401 - Login Information and Location Erin called and wanted to know the location to login on our website. ,,,
Payment,Delinquency Letter,"WDS5007200 - Delinquency letter We have received notice of payment due to the HOA. We have paid our dues annually in full each of the 16 years we have lived in Woodside. Until Propvio took over management we have never received any notice of a late payment to the association. I would like a detailed statement of our account from as far back as you have records, but as we pay in full every year, I will not be paying late fees. In addition, the Woodside Rules and Regulations state there is a $50 late fee, your coupon book shows a late fee of $73, which unless the rules are updated and distributed to all owners with the late fee change you can not charge more than $50.00. ",,,
Payment,Question,PSD0207700 - Yearly payment I received the coupon book yesterday and i wanted to know how to make the payment for the whole year. ,,,
Maintenance,Extermination,DMC: Ants There are ants outside my house at right side of the wall. it needs to taken care as soon as possible ,,,
Payment,Question,DMC: Dues for Payments I needs to know if there is any over due bills for the property. ,,,
Payment,ACH Setup,DMC: Payment for ACH Setup Service Request ,,,
Maintenance,Playground,DMC:  Service Request - Playground DMC:  ,,,
Payment,ACH Setup,"DMC: SERVICE REQUEST 
ACH ",,,
Maintenance,Roof Maintenance,DMC : Need to repair my Bathroom Leakage i  Need To Repair My Bathroom Leakage ,,,
Payment,Question,SVT5141D00 - Balance She called in to know what is the balance in the HOA account ,,,
Payment,Make Payment,MOP0020501 - Make payment She called in to make a payment for her HOA dues. ,,,
